ID,Group,Category,Title,Current state,Local behavior,Upstream behavior,Local evidence,Upstream evidence,Classification,Impact,Disposition,Defect,Confidence,Provenance,Notes
GEN-003,Generation,Memory,Streaming retains pending chunk codes only,Active,Streaming appends code tensors to pendingStreamCodes and clears after emission; full-result mode separately retains all codes.,Upstream keeps generatedCodes for the entire generation while also decoding slices.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),memory,Makes streaming peak much flatter with output length.,Strong upstream candidate.,No,Confirmed in source,,
GEN-004,Generation,Allocation,Reserve capacities for code/token buffers,Active,The local loop reserves capacity based on effective token budgets and chunk sizes.,Upstream uses ordinary dynamically growing arrays.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),performance,Reduces Swift allocation churn.,Keep local; upstream candidate.,No,Confirmed in source,,
GEN-005,Generation,Repetition penalty,Incremental repetition token Set,Active,Unique generated token IDs are maintained incrementally and mirrored into sampler scratch.,Upstream reconstructs Array(Set(generatedTokens)) inside sampling.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),performance,Avoids per-token hashing and allocations.,Strong upstream candidate.,No,Confirmed in source,[hot-path patch](https://github.com/PowerBeef/Vocello/commit/d93612c4f5ee672ef89be36caf700adb2b8d2bef),
GEN-006,Generation,Sampler allocation,Qwen3SamplerScratch reuse,Active,"Arange, zero, negative-infinity, EOS index, suppression pairs, and repetition IDs are reused.",Upstream allocates these arrays within sampleToken.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),performance,Reduces graph-build and allocation overhead in talker and 15 code-predictor draws per frame.,Strong upstream candidate.,No,Confirmed in source,,
GEN-007,Generation,Sampler correctness,Temperature applied before top-p/min-p filtering,Active,Logits are temperature-scaled immediately after greedy handling; categorical samples the already-scaled logits.,Current upstream filters untempered logits and divides only at final categorical sampling.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),correctness,Probability truncation reflects the actual tempered distribution.,Strong upstream candidate with deterministic tests.,No,Confirmed in source,[sampler-order fix](https://github.com/PowerBeef/Vocello/commit/1c8d9f51e3cc663c3eea690a54b082c216149973),
GEN-008,Generation,Sampler correctness,EOS logit preserved through truncation filters,Active,The original EOS logit is restored after top-k/top-p/min-p filtering when EOS is allowed.,Reviewed upstream also preserves EOS in its current Qwen sampler.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),correctness,Prevents truncation filters from permanently suppressing normal completion.,Shared behavior; retain.,No,Confirmed in source,,
GEN-009,Generation,Sampling policy,Independent talker/subtalker overrides,Active,Environment/test policy can override subtalker temperature/top-k/top-p independently from the talker.,Upstream feeds the same generic generation settings through both paths.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),product-specific,Enables controlled delivery A/B experiments.,Keep dev-only; pass typed policy instead of reading environment in vendor code.,No,Confirmed in source,,
GEN-010,Generation,Product sampling,Expressive/Balanced/Consistent request variation,Active,"Core maps request variation to talker temperature/top-p, with environment values taking precedence for development.",No upstream product variation concept.,[`Sources/QwenVoiceCore/UnsafeSpeechGenerationModel.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/Sources/QwenVoiceCore/UnsafeSpeechGenerationModel.swift),,product-specific,Provides user-facing reproducibility/variation control.,Keep local; avoid process-global mutable variation if concurrent requests are ever allowed.,No,Confirmed in source,,
GEN-011,Generation,Determinism,Per-request MLX random seed,Active,QwenVoiceCore applies the request seed before generation.,Upstream generic calls do not expose the same product seed contract.,[`project.yml`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/project.yml),,product-specific,Supports reproducible takes and benchmark comparisons.,Keep local; add fixed-seed trace tests.,No,Confirmed in source,,
GEN-012,Generation,Defaults,Local default maxTokens is 2048,Active,"Qwen3TTSModel.defaultGenerationParameters uses 2048, aligned with QwenVoiceBackendCore officialQualityDefault.",Current upstream Qwen3TTS default is 4096.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),product-specific,Bounds product latency/memory and defines when rotating KV can become active.,Keep local while product cap remains intentional; document mismatch.,No,Confirmed in source,,
GEN-013,Generation,Token budget,Mode/profile-specific token budget policy,Active,"Effective max tokens and minimum codes can be resolved by streaming mode, Custom Voice profile, and speed profile.","Upstream uses min(maxTokens, max(75, targetTokens*6)).",[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),product-specific,Allows evidence-driven latency policy without changing generic parameters.,Keep local; make policies typed and tested.,No,Confirmed in source,,
GEN-014,Generation,Streaming policy,Larger post-first chunk sizes,Active,"After the first low-latency chunk, Design/Clone and profile-controlled Custom Voice use larger decode chunks.",Upstream uses one fixed chunk size derived from streamingInterval.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),performance,Balances first-audio latency against decoder efficiency.,Keep local; verify waveform partition invariance.,No,Confirmed in source,,
GEN-015,Generation,Memory policy,Configurable MLX cache-clear cadence,Active,Cache clearing cadence is resolved by speed profile/explicit override and can be zero for full-result quality paths.,Upstream clears Memory cache every 50 generation steps.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),performance,Avoids unnecessary cache churn while retaining constrained-tier controls.,Keep local; benchmark by device tier.,No,Confirmed in source,,
GEN-016,Generation,Eval policy,full/eos-only/deferred stream-step eval policy,"Active, full default","The local loop can explicitly evaluate both inputEmbeds/EOS, EOS only, or defer; full remains production default after measurement.",Upstream always evaluates inputEmbeds and EOS each step.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),instrumentation,Supports attribution experiments; deferred did not eliminate compute.,Keep as diagnostic policy; do not expose casually.,No,Confirmed in source,,
GEN-017,Generation,KV cache,Optional quantized talker KV cache,Active but opt-in,Talker makeCache can return QuantizedKVCache and attention dispatches through attentionWithCacheUpdate.,Upstream uses KVCacheSimple and direct SDPA.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSTalker.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSTalker.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSTalker.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSTalker.swift),memory,Experimental memory lever; can alter numerics and needs quality gates.,Keep dev-only/off by default.,No,Confirmed in source,,
GEN-018,Generation,KV cache,Optional rotating talker KV cache,Active but off by default,A cache pins the conditioning prefix and rotates generated audio-code tokens beyond an environment-selected window.,Upstream exposes only simple talker cache in this model.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSTalker.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSTalker.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSTalker.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSTalker.swift),memory,Dormant insurance capability; current 2048 token cap makes a 2048 window inert.,Keep env-only; do not claim active RAM savings.,No,Confirmed in source,,
GEN-019,Generation,KV telemetry,Cache implementation type tracking,Active,"Talker records whether the last cache was simple, quantized, or rotating.",Upstream does not expose this telemetry.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSTalker.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSTalker.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSTalker.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSTalker.swift),instrumentation,Makes cache-policy evidence interpretable.,Keep local,No,Confirmed in source,,
GEN-020,Generation,Code predictor,Fused MLXFast.RoPE,Active,CodePredictorAttention applies MLXFast.RoPE with offset instead of constructing cos/sin tables and manual rotate-half operations.,Current upstream computes rotary embeddings and applies manual q/k rotation.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSCodePredictor.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSCodePredictor.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSCodePredictor.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSCodePredictor.swift),performance,Reduces graph operations and kernel launches in the repeated code-predictor loop.,Strong upstream candidate.,No,Confirmed in source,Recorded in optimization ledger as P3 / `f3cd2aa`.,
GEN-021,Generation,Code predictor,Per-generation causal-mask memoization,Active,CodePredictorStepConstants caches the pass-0 mask because the code-predictor cache is reset every frame.,Upstream rebuilds the causal mask when seqLen > 1.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSCodePredictor.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSCodePredictor.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSCodePredictor.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSCodePredictor.swift),performance,Avoids repeated graph-build work.,Strong upstream candidate.,No,Confirmed in source,,
GEN-022,Generation,Code predictor,Compiled shapeless SwiGLU,"Shared, not a local differentiator",Local Code Predictor and Talker use compile(shapeless:) for the elementwise SwiGLU interior.,Current upstream already does the same.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSCodePredictor.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSCodePredictor.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSCodePredictor.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSCodePredictor.swift),performance,"Important active optimization, but should not be credited as fork-only.",Document as inherited/shared.,No,Confirmed in source,,Correction against overbroad optimization lists.
GEN-023,Generation,Streaming pipeline,In-loop audio chunk async evaluation,Active,Non-final streaming chunks can be async-evaluated so decoder materialization overlaps later token work.,Upstream synchronously evaluates each emitted audio chunk.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),performance,Pipelines decoder work with the autoregressive loop.,Keep local; preserve final-chunk ordering barrier.,No,Confirmed in source,,
GEN-024,Generation,Streaming correctness,Final trailing chunk forced synchronous,Active,The trailing decoder chunk is evaluated synchronously before generation returns.,"Upstream synchronously evaluates all chunks, so it does not have the local async handoff race.",[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),correctness,Closes a race where final-file handoff could precede playback queue drain.,Keep local,No,Confirmed in source,,
GEN-025,Generation,Quality path,Dedicated full-result generation for Custom/Design/Clone,Active,Mode-specific full-result methods select full-text conditioning and return structured completion.,Upstream's generic generate path does not make this product distinction explicit.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),correctness,Treats streaming preview and canonical persisted waveform as separate policies.,Keep local,No,Confirmed in source,,
DEC-001,Decoder,Numerical correctness,Input-side overlap-and-discard transposed convolution,Active,"DecoderBlockUpsample keeps one input frame as context, recomputes a composed output, and discards the repeated prefix.",Current upstream accumulates an output overflow tail and adds it into the next chunk.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift),correctness,Removes chunk-boundary floating-point accumulation drift and makes output partition-invariant.,Strong upstream candidate with partition tests.,No,Confirmed in source,Recorded as decoder-drift fix `4fab110`.,
DEC-002,Decoder,Future-proofing,Exact block-count fast-path guard,Active,The optimized decoder block step requires exactly five layers; any other shape uses a count-agnostic fallback.,Upstream uses the ordinary block implementation without this local explicit guard/commented invariant.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift),correctness,Avoids silently dropping future residual layers.,Upstream candidate.,No,Confirmed in source,,
DEC-003,Decoder,Instrumentation,streamingStepWithTimings,Active,The speech decoder can return waveform plus detailed Mimi decoder timings.,Upstream exposes the ordinary streaming step.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift),instrumentation,Supports per-frame and per-chunk decoder attribution.,Keep local,No,Confirmed in source,,
DEC-004,Decoder,Capability,Encoder can be omitted at construction/load,Active,Qwen3TTSSpeechTokenizer has an includeEncoder capability path used by prepared load profiles.,Upstream model-directory load generally constructs the full configured tokenizer.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift),memory,Reduces resident model surface when cloning/reference encoding is unavailable or unnecessary.,Keep local,No,Confirmed in source,,
DEC-005,Decoder,State,Explicit reset across all incremental layers,Active,"Initial/output conv buffers, decoder blocks, and upsample input context are reset between streams.",Upstream resets its overflow/buffer state under its own algorithm.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift),correctness,Required for independent generations.,Retain and test.,No,Confirmed in source,,
DEC-006,Decoder,Mimi Conv,Local Mimi wrappers remain on older MLX API style,Active compatibility debt,The fork retains the imported Conv wrappers compatible with MLX 0.30.6.,Current upstream has refactored Mimi convolution wrappers around newer MLXNN Conv1d/ConvTransposed1d classes.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioCodecs/Mimi/Conv.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioCodecs/Mimi/Conv.swift),[`Sources/MLXAudioCodecs/Mimi/Conv.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioCodecs/Mimi/Conv.swift),compatibility,"An upgrade blocker, not a present correctness defect.",Evaluate only with the MLX/LM compatibility branch.,No,Confirmed in source,,
INT-001,Integration,Backend adapter,QwenVoice-specific closure adapter,Active,UnsafeSpeechGenerationModel converts the fork protocols into QwenVoiceCore closures and applies product parameter policies.,No upstream equivalent.,[`Sources/QwenVoiceCore/UnsafeSpeechGenerationModel.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/Sources/QwenVoiceCore/UnsafeSpeechGenerationModel.swift),,product-specific,"Allows a single-owner model to cross actor boundaries, but expands unchecked contracts.",Move into/behind BackendCore over time.,No,Confirmed in source,,
INT-002,Integration,Boundary,Fork-specific types leak above BackendCore,Active design debt,QwenVoiceCore and several app/service targets directly link MLXAudioCore/TTS and use fork-specific protocols/types.,Upstream is itself the package boundary.,[`project.yml`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/project.yml),,maintainability,Increases blast radius of vendor API changes.,Constrain fork-specific APIs to BackendCore; neutral MLXArray/Core exceptions may remain explicit.,Design debt,Confirmed in source,,
INT-003,Integration,Output,Product streaming WAV/final-file pipeline outside vendor,Active,QwenVoiceCore writes streamed/final audio with product-owned atomic file and telemetry behavior.,Upstream provides generic AudioUtils and StreamingWAVWriter.,[`Sources/QwenVoiceCore/NativeStreamingSynthesisSession.swift`](https://github.com/PowerBeef/Vocello/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/Sources/QwenVoiceCore/NativeStreamingSynthesisSession.swift),[`Sources/MLXAudioCore/AudioUtils.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioCore/AudioUtils.swift),product-specific,Separates package generation from durable application artifacts.,Keep local,No,Confirmed in source,,
